timestamp,scenario_name,random_seed,mode,person_count,robot_x,robot_y,robot_yaw,goal_x,goal_y,distance_to_goal,cmd_linear,cmd_angular,min_distance_to_person,collision_count,dangerous_close_count,yolo_detection_count,yolo_miss_count,detector_fps,detector_latency_ms,fused_obstacle_count,high_risk_count,stop_count,replan_count,path_length,average_speed,navigation_time,success,failure_reason
1779865531.583,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.3139,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,0.19,0,
1779865531.683,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.2746,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,0.29,0,
1779865531.783,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.2376,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,0.39,0,
1779865531.883,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.2032,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,0.49,0,
1779865531.983,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.1712,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,0.59,0,
1779865532.083,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.1419,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,0.69,0,
1779865532.183,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.1152,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,0.79,0,
1779865532.283,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0913,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,0.89,0,
1779865532.383,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0700,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,0.99,0,
1779865532.483,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0515,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,1.09,0,
1779865532.583,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0358,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,1.19,0,
1779865532.683,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0230,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,1.29,0,
1779865532.783,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0129,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,1.39,0,
1779865532.883,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0057,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,1.49,0,
1779865532.983,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0014,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,1.59,0,
1779865533.083,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0000,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,1.69,0,
1779865533.183,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0014,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,1.79,0,
1779865533.284,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0058,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,1.89,0,
1779865533.383,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0130,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,1.99,0,
1779865533.483,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0230,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,2.09,0,
1779865533.583,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0360,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,2.19,0,
1779865533.683,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0516,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,2.29,0,
1779865533.783,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0706,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,2.39,0,
1779865533.883,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0914,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,2.49,0,
1779865533.983,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.1154,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,2.59,0,
1779865534.083,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.1421,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,2.69,0,
1779865534.183,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.1714,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,2.79,0,
1779865534.283,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.2033,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,2.89,0,
1779865534.383,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.2378,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,2.99,0,
1779865534.483,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.2748,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,3.09,0,
1779865534.583,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.3142,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,3.19,0,
1779865534.683,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.3561,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,3.29,0,
1779865534.783,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.3703,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,3.39,0,
1779865534.883,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.3277,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,3.49,0,
1779865534.983,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.2875,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,3.59,0,
1779865535.083,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.2497,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,3.69,0,
1779865535.183,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.2144,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,3.79,0,
1779865535.283,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.1816,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,3.89,0,
